rec,include,cat,new_species,marker,genBank_accession_no,BIN,SRA_NO,taxonConceptID,scientificName/TCID,phylum,lower_taxon,catalog_no,in-house_spec_no,typeStatus,year_date,cruise,contractor_Area,STATION-collection_code,lat,long,depth,data_name,database_link,DATA_SOURCE,ref_short,ref2,record_elsewhere,note
1736,,sequence,,COI,MW066941,BOLD:ADL2985,,,Mastigoniscus sp. # 3007,Arthropoda,Haploniscidae,ZMH K-57685,HaplJP039,,,JPIO (and DISCOL),BC,133,,,,,,,Brix_etal_2020,,,morphospecies
1737,,sequence,,16S,MN550378,BOLD:ADL2985,,,Mastigoniscus sp. # 3007,Arthropoda,Haploniscidae,ZMH K-57685,HaplJP039,,,JPIO (and DISCOL),BC,133,,,,,,,Brix_etal_2020,,,morphospecies
1738,,sequence,,COI,MW066904,BOLD:ADL2982,,,Mastigoniscus sp.,Arthropoda,Haploniscidae,ZMH K-57686,HaplJP040,,,JPIO (and DISCOL),BC,133,,,,,,,Brix_etal_2020,,,
1739,,sequence,,16S,MN550138,BOLD:ADL2982,,,Mastigoniscus sp.,Arthropoda,Haploniscidae,ZMH K-57686,HaplJP040,,,JPIO (and DISCOL),BC,133,,,,,,,Brix_etal_2020,,,
1740,,sequence,,COI,MW066930,BOLD:ADL3128,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57687,HaplJP041,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1741,,sequence,,16S,MN550323,BOLD:ADL3128,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57687,HaplJP041,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1742,,sequence,,COI,MW066883,BOLD:ADL6560,,,Mastigoniscus sp. # 3007,Arthropoda,Haploniscidae,ZMH K-57688,HaplJP042,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1743,,sequence,,16S,MN550068,BOLD:ADL6560,,,Mastigoniscus sp. # 3007,Arthropoda,Haploniscidae,ZMH K-57688,HaplJP042,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1744,,sequence,,COI,MW066924,BOLD:ADL3123,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57689,HaplJP043,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1745,,sequence,,16S,,BOLD:ADL3123,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57689,HaplJP043,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1746,,sequence,,COI,MW066936,BOLD:ADL6397,,,Haploniscus sp. # 1a,Arthropoda,Haploniscidae,ZMH K-57690,HaplJP044,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1747,,sequence,,16S,MN550363,BOLD:ADL6397,,,Haploniscus sp. # 1a,Arthropoda,Haploniscidae,ZMH K-57690,HaplJP044,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1748,,sequence,,COI,MW066866,BOLD:ADL3129,,,Haploniscus sp. # 1,Arthropoda,Haploniscidae,ZMH K-57691,HaplJP045,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1749,,sequence,,16S,,BOLD:ADL3129,,,Haploniscus sp. # 1,Arthropoda,Haploniscidae,ZMH K-57691,HaplJP045,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1750,,sequence,,COI,MW066879,BOLD:ADL3129,,,Haploniscus sp. # 1,Arthropoda,Haploniscidae,ZMH K-57692,HaplJP046,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1751,,sequence,,16S,,BOLD:ADL3129,,,Haploniscus sp. # 1,Arthropoda,Haploniscidae,ZMH K-57692,HaplJP046,,,JPIO (and DISCOL),FC,158,,,,,,,Brix_etal_2020,,,morphospecies
1752,,sequence,,COI,MW066919,BOLD:ADL3125,,,Mastigoniscus sp. # 7,Arthropoda,Haploniscidae,ZMH K-57693,HaplJP047,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1753,,sequence,,16S,MN550240,BOLD:ADL3125,,,Mastigoniscus sp. # 7,Arthropoda,Haploniscidae,ZMH K-57693,HaplJP047,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1754,,sequence,,COI,MW066949,BOLD:ADL3128,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57694,HaplJP048,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1755,,sequence,,16S,,BOLD:ADL3128,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57694,HaplJP048,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1756,,sequence,,COI,MW066873,BOLD:ADL2986,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57695,HaplJP049,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1757,,sequence,,16S,MN550034,BOLD:ADL2986,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57695,HaplJP049,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1758,,sequence,,COI,MW066887,BOLD:ADL3123,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57696,HaplJP050,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1759,,sequence,,16S,MN550084,BOLD:ADL3123,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57696,HaplJP050,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1760,,sequence,,COI,MW066889,BOLD:ADL3128,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57697,HaplJP051,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1761,,sequence,,16S,,BOLD:ADL3128,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57697,HaplJP051,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1762,,sequence,,COI,MW066891,BOLD:ADL2989,,,Haploniscus sp. # 1,Arthropoda,Haploniscidae,ZMH K-57698,HaplJP052,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1763,,sequence,,16S,MN550092,BOLD:ADL2989,,,Haploniscus sp. # 1,Arthropoda,Haploniscidae,ZMH K-57698,HaplJP052,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1764,,sequence,,COI,MW066946,BOLD:ADL3125,,,Mastigoniscus sp. # 7,Arthropoda,Haploniscidae,ZMH K-57699,HaplJP053,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1765,,sequence,,16S,MN550412,BOLD:ADL3125,,,Mastigoniscus sp. # 7,Arthropoda,Haploniscidae,ZMH K-57699,HaplJP053,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1766,,sequence,,COI,MW066938,BOLD:ADL2986,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57700,HaplJP054,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1767,,sequence,,16S,,BOLD:ADL2986,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57700,HaplJP054,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1768,,sequence,,COI,MW066871,BOLD:ADL2989,,,Haploniscus sp. # 1,Arthropoda,Haploniscidae,ZMH K-57701,HaplJP055,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1769,,sequence,,16S,MN550029,BOLD:ADL2989,,,Haploniscus sp. # 1,Arthropoda,Haploniscidae,ZMH K-57701,HaplJP055,,,JPIO (and DISCOL),FC,171,,,,,,,Brix_etal_2020,,,morphospecies
1770,,sequence,,COI,MW066951,BOLD:ADL3126,,,Mastigoniscus sp. # 8,Arthropoda,Haploniscidae,ZMH K-57702,HaplJP057,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1771,,sequence,,16S,MN550465,BOLD:ADL3126,,,Mastigoniscus sp. # 8,Arthropoda,Haploniscidae,ZMH K-57702,HaplJP057,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1772,,sequence,,COI,MW066878,BOLD:ADL2820,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57703,HaplJP058,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1773,,sequence,,16S,MN550048,BOLD:ADL2820,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57703,HaplJP058,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1774,,sequence,,COI,MW066867,BOLD:ADL2984,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57704,HaplJP059,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1775,,sequence,,16S,,BOLD:ADL2984,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57704,HaplJP059,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1776,,sequence,,COI,MW066928,BOLD:ADL3124,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57705,HaplJP060,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1777,,sequence,,16S,,BOLD:ADL3124,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57705,HaplJP060,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1778,,sequence,,COI,MW066902,BOLD:ADL2984,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57706,HaplJP061,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1779,,sequence,,16S,,BOLD:ADL2984,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57706,HaplJP061,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1780,,sequence,,COI,MW066894,BOLD:ADL3124,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57707,HaplJP062,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1781,,sequence,,16S,,BOLD:ADL3124,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57707,HaplJP062,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1782,,sequence,,COI,MW066929,BOLD:ADL3280,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57708,HaplJP063,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1783,,sequence,,16S,MN550322,BOLD:ADL3280,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57708,HaplJP063,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1784,,sequence,,COI,MW066888,BOLD:ADL2984,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57709,HaplJP064,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1785,,sequence,,16S,,BOLD:ADL2984,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57709,HaplJP064,,,JPIO (and DISCOL),A3,210,,,,,,,Brix_etal_2020,,,morphospecies
1786,,sequence,,COI,MW066896,BOLD:ADL3124,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57710,HaplJP065,,,JPIO (and DISCOL),A3,197,,,,,,,Brix_etal_2020,,,morphospecies
1787,,sequence,,16S,MN550115,BOLD:ADL3124,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57710,HaplJP065,,,JPIO (and DISCOL),A3,197,,,,,,,Brix_etal_2020,,,morphospecies
1788,,sequence,,COI,MW066890,BOLD:ADL3130,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57711,HaplJP066,,,JPIO (and DISCOL),A3,197,,,,,,,Brix_etal_2020,,,morphospecies
1789,,sequence,,16S,MN550090,BOLD:ADL3130,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57711,HaplJP066,,,JPIO (and DISCOL),A3,197,,,,,,,Brix_etal_2020,,,morphospecies
1790,,sequence,,COI,MW066931,BOLD:ADL2820,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57712,HaplJP067,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1791,,sequence,,16S,,BOLD:ADL2820,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57712,HaplJP067,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1792,,sequence,,COI,MW066920,BOLD:ADL2987,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57713,HaplJP068,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1793,,sequence,,16S,,BOLD:ADL2987,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57713,HaplJP068,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1794,,sequence,,COI,MW066925,BOLD:ADL2987,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57714,HaplJP069,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1795,,sequence,,16S,,BOLD:ADL2987,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57714,HaplJP069,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1796,,sequence,,COI,MW066899,BOLD:ADL2820,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57715,HaplJP070,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1797,,sequence,,16S,,BOLD:ADL2820,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57715,HaplJP070,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1798,,sequence,,COI,MW066944,BOLD:ADL3124,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57716,HaplJP071,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1799,,sequence,,16S,,BOLD:ADL3124,,,Haploniscus sp. # 2,Arthropoda,Haploniscidae,ZMH K-57716,HaplJP071,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1800,,sequence,,COI,MW066952,BOLD:ADL3126,,,Mastigoniscus sp. # 8,Arthropoda,Haploniscidae,ZMH K-57717,HaplJP072,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1801,,sequence,,16S,,BOLD:ADL3126,,,Mastigoniscus sp. # 8,Arthropoda,Haploniscidae,ZMH K-57717,HaplJP072,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1802,,sequence,,COI,MW066898,BOLD:ADL2987,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57718,HaplJP073,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1803,,sequence,,16S,,BOLD:ADL2987,,,Mastigoniscus sp. # 5,Arthropoda,Haploniscidae,ZMH K-57718,HaplJP073,,,JPIO (and DISCOL),A3,192,,,,,,,Brix_etal_2020,,,morphospecies
1804,,sequence,,COI,MW066917,BOLD:ADL6395,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57719,HaplJP074,,,JPIO (and DISCOL),IOM,81,,,,,,,Brix_etal_2020,,,morphospecies
1805,,sequence,,16S,,BOLD:ADL6395,,,Mastigoniscus sp. # 3,Arthropoda,Haploniscidae,ZMH K-57719,HaplJP074,,,JPIO (and DISCOL),IOM,81,,,,,,,Brix_etal_2020,,,morphospecies
1806,,sequence,,COI,MW057610,BOLD:ADG1797,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54165,MacrJP001,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1807,,sequence,,16S,MN550230,BOLD:ADG1797,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54165,MacrJP001,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1808,,sequence,,COI,MW057644,BOLD:ADG1797,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54166,MacrJP002,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1809,,sequence,,16S,MN550396,BOLD:ADG1797,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54166,MacrJP002,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1810,,sequence,,COI,MW057648,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54167,MacrJP003,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1811,,sequence,,16S,MN550417,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54167,MacrJP003,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1812,,sequence,,COI,MW057603,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54168,MacrJP004,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1813,,sequence,,16S,MN550194,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54168,MacrJP004,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1814,,sequence,,COI,MW057606,BOLD:ADL4493,,,Macrostylis sp. # 1,Arthropoda,Macrostylidae,SMF 54169,MacrJP005,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1815,,sequence,,16S,,BOLD:ADL4493,,,Macrostylis sp. # 1,Arthropoda,Macrostylidae,SMF 54169,MacrJP005,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1816,,sequence,,COI,MW057621,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54170,MacrJP006,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1817,,sequence,,16S,MN550278,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54170,MacrJP006,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1818,,sequence,,COI,MW057653,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54171,MacrJP007,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1819,,sequence,,16S,MN550443,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54171,MacrJP007,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1820,,sequence,,COI,MW057588,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54172,MacrJP008,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1821,,sequence,,16S,MN550122,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54172,MacrJP008,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1822,,sequence,,COI,MW057638,BOLD:ADL3953,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54173,MacrJP009,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1823,,sequence,,16S,MN550364,BOLD:ADL3953,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54173,MacrJP009,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1825,,sequence,,16S,MN550153,,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54174,MacrJP010,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1826,,sequence,,COI,MW057612,BOLD:ADG1797,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54175,MacrJP011,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1827,,sequence,,16S,MN550238,BOLD:ADG1797,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54175,MacrJP011,,,JPIO (and DISCOL),GC,20,,,,,,,Brix_etal_2020,,,morphospecies
1828,,sequence,,COI,MW057615,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54176,MacrJP012,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1829,,sequence,,16S,MN550259,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54176,MacrJP012,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1830,,sequence,,COI,MW057619,BOLD:ADL2993,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54177,MacrJP013,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1831,,sequence,,16S,MN550273,BOLD:ADL2993,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54177,MacrJP013,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1832,,sequence,,COI,MW057567,BOLD:ADL4161,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54178,MacrJP014,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1833,,sequence,,16S,MN550022,BOLD:ADL4161,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54178,MacrJP014,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1834,,sequence,,COI,MW057597,BOLD:ADG1797,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54179,MacrJP015,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1835,,sequence,,16S,MN550168,BOLD:ADG1797,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54179,MacrJP015,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1836,,sequence,,COI,MW057641,BOLD:ADL4493,,,Macrostylis cf. sp. # 1,Arthropoda,Macrostylidae,SMF 54180,MacrJP016,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1837,,sequence,,16S,MN550383,BOLD:ADL4493,,,Macrostylis cf. sp. # 1,Arthropoda,Macrostylidae,SMF 54180,MacrJP016,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1838,,sequence,,COI,MW057601,BOLD:ADL4493,,,Macrostylis sp. # 1,Arthropoda,Macrostylidae,SMF 54181,MacrJP017,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1839,,sequence,,16S,MN550192,BOLD:ADL4493,,,Macrostylis sp. # 1,Arthropoda,Macrostylidae,SMF 54181,MacrJP017,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1840,,sequence,,COI,MW057578,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54182,MacrJP018,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1841,,sequence,,16S,MN550071,BOLD:ADG1798,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54182,MacrJP018,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1842,,sequence,,COI,MW057592,BOLD:ADG1797,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54183,MacrJP019,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1843,,sequence,,16S,MN550150,BOLD:ADG1797,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54183,MacrJP019,,,JPIO (and DISCOL),GC,24,,,,,,,Brix_etal_2020,,,morphospecies
1844,,sequence,,COI,MW057572,BOLD:ADL2993,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54184,MacrJP020,,,JPIO (and DISCOL),GC,59,,,,,,,Brix_etal_2020,,,morphospecies
1845,,sequence,,16S,MN550052,BOLD:ADL2993,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54184,MacrJP020,,,JPIO (and DISCOL),GC,59,,,,,,,Brix_etal_2020,,,morphospecies
1846,,sequence,,COI,MW057642,BOLD:ADL2993,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54185,MacrJP021,,,JPIO (and DISCOL),GC,59,,,,,,,Brix_etal_2020,,,morphospecies
1847,,sequence,,16S,MN550390,BOLD:ADL2993,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54185,MacrJP021,,,JPIO (and DISCOL),GC,59,,,,,,,Brix_etal_2020,,,morphospecies
1848,,sequence,,COI,MW057626,BOLD:ADL2993,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54186,MacrJP022,,,JPIO (and DISCOL),GC,59,,,,,,,Brix_etal_2020,,,morphospecies
1849,,sequence,,16S,MN550295,BOLD:ADL2993,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54186,MacrJP022,,,JPIO (and DISCOL),GC,59,,,,,,,Brix_etal_2020,,,morphospecies
1850,,sequence,,COI,MW057582,BOLD:ADL4161,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54187,MacrJP023,,,JPIO (and DISCOL),GC,59,,,,,,,Brix_etal_2020,,,morphospecies
1851,,sequence,,16S,MN550106,BOLD:ADL4161,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54187,MacrJP023,,,JPIO (and DISCOL),GC,59,,,,,,,Brix_etal_2020,,,morphospecies
1852,,sequence,,COI,MW057569,BOLD:ADL2993,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54188,MacrJP024,,,JPIO (and DISCOL),GC,59,,,,,,,Brix_etal_2020,,,morphospecies
1853,,sequence,,16S,MN550033,BOLD:ADL2993,,,Macrostylis sp. M cf. metallicola,Arthropoda,Macrostylidae,SMF 54188,MacrJP024,,,JPIO (and DISCOL),GC,59,,,,,,,Brix_etal_2020,,,morphospecies
