rec,reference,full_citation,year_published,descr_id_with,new_gen_data_publ,OA,DESCRIPTION,size_cat,categ,synthesis_muli-datasets,journal,article_type,key_provided
46,Veillette_etal_2007,"Veillette, J., Sarrazin, J., Gooday, A.J., Galéron, J., Caprais, J.C., Vangriesheim, A., Étoubleau, J., Christian, J.R. and Juniper, S.K., 2007. Ferromanganese nodule fauna in the Tropical North Pacific Ocean: Species richness, faunal cover and spatial distribution. Deep Sea Research Part I: Oceanographic Research Papers, 54(11), pp.1912-1935.",2007,morphology only (specimens),no,yes,,macrofauna,community composition/species assemblages,,,,
61,Wang_etal_2013,"Wang, X.G., Zhou, Y.D., Zhang, D.S., Hong, L.S. and Wang, C.S., 2013. A study of meiofauna in the COMRA’s contracted area during the summer of 2005. Acta Ecol. Sin, 33, pp.492-500.",2013,morphology only (specimens),no,n,,meiofauna,,,,,
110,Wang_etal_2018,"Wang, C., Zhang, Y., Lu, B. and Wang, D., 2018. New Hexactinellid Sponge Chaunoplectella megapora sp. nov.(Lyssacinosida: Leucopsacidae) from Clarion-Clipperton Fracture Zone, Eastern Pacific Ocean. Zootaxa, 4375(1), pp.136-142.",2018,morphology only (specimens),no,n,y,megafauna,taxonomy/species description,,Zootaxa,article,
182,Washburn_etal_2021,"Washburn, T.W., Menot, L., Bonifácio, P., Pape, E., B?a?ewicz, M., Bribiesca-Contreras, G., Dahlgren, T.G., Fukushima, T., Glover, A.G., Ju, S.J. and Kaiser, S., 2021. Patterns of macrofaunal biodiversity across the Clarion-Clipperton Zone: an area targeted for seabed mining. Frontiers in Marine Science, 8, p.250.",2021,morphology and molecular data,existing data,yes,,macrofauna,community composition/species assemblages,yes,Frontiers in Marine Science,article,
198,Weston&Jaimeson_2022,"Weston, J.N. and Jamieson, A.J., 2022. The Multi-Ocean Distribution of the Hadal Amphipod, Hirondellea dubia (Crustacea, Amphipoda). Frontiers in Marine Science, 9, p.824640.",2022,,existing data,yes,,,,,,,
66,Wi_etal_2014,"Wi, J.H., Suh, H.L. and Yu, O.H., 2014. Two new species of the deep-sea genus Neotanais Beddard, 1886 (Tanaidacea: Neotanaididae) from the Eastern Central Pacific. Journal of Crustacean Biology, pp.875-885.",2014,morphology only (specimens),no,n,y,macrofauna,taxonomy/species description,,Journal of Crustacean Biology,article,
71,Wi_etal_2015a,"Wi, J.H., Suh, H.L. and Kim, D., 2015. Three New Species of the Deep-Sea Genus Collettea (Tanaidacea; Colletteidae) in the Eastern Central Pacific. Journal of Crustacean Biology, 35(5), pp.714-727.",2015,morphology only (specimens),no,yes,y,macrofauna,taxonomy/species description,,Journal of Crustacean Biology,article,
72,Wi_etal_2015b,"Wi, J.H., Suh, H.L. and Yu, O.H., 2015. Description of two new species of Neotanais Beddard, 1886 (Crustacea, Tanaidacea) from KODOS area. Zootaxa, 3926(2), pp.244-256.",2015,morphology only (specimens),no,yes,y,macrofauna,taxonomy/species description,,Zootaxa,article,
100,Wiklund_etal_2017,"Wiklund, H., Taylor, J.D., Dahlgren, T.G., Todt, C., Ikebe, C., Rabone, M. and Glover, A.G., 2017. Abyssal fauna of the UK-1 polymetallic nodule exploration area, Clarion-Clipperton Zone, central Pacific Ocean: Mollusca. ZooKeys, (707), p.1-46. https://doi.org/10.3897/zookeys.707.13042",2017,morphology and molecular data,yes,yes,y,macrofauna,taxonomy/species description/ distributional records,,Zookeys,article,
134,Wiklund_etal_2019,"Wiklund, H., Neal, L., Glover, A.G., Drennan, R., Rabone, M. and Dahlgren, T.G., 2019. Abyssal fauna of polymetallic nodule exploration areas, eastern Clarion-Clipperton Zone, central Pacific Ocean: Annelida: Capitellidae, Opheliidae, Scalibregmatidae, and Travisiidae. ZooKeys, 883, p 1–82. https://doi.org/10.3897/zookeys.883.36193",2019,morphology and molecular data,yes,yes,y,macrofauna,taxonomy/species description/ distributional records,,Zookeys,article,
101,Wilson_2017,"Wilson, G.D., 2017. Macrofauna abundance, species diversity and turnover at three sites in the Clipperton-Clarion Fracture Zone. Marine Biodiversity, 47(2), pp.323-347.",2017,morphology only (specimens),no,n,,macrofauna,community composition/species assemblages,,Marine Biodiversity,article,
111,Yu_etal_2018,"Yu, O.H., Lee, H.G., Kim, D., Wi, J.H., Kim, K.H. and Yoo, C.M., 2018. Characterization of deep-sea macrofauna in the Korean exploration claim area in the Clarion-Clipperton Fracture Zone, northeastern Pacific Ocean. Ocean Science Journal, 53(2), pp.301-314.",2018,morphology only (specimens),no,n,,macrofauna,community composition/species assemblages,,Ocean Science Journal,article,
